#{"t_start": 1774912042.6845925, "env_id": "None"}
r,l,t
0.98509765,2,4.291634
1.6000372,3,6.038489
1.6000543,3,6.038576
1.9251442,3,6.038599
2.5281007,4,7.748496
1.2765543,2,9.422084
2.9272802,5,9.422201
4.786317,6,11.190534
4.19279,6,11.190621
5.2011623,7,12.947582
5.4023485,7,12.948086
1.9602091,3,14.616826
5.370444,8,14.616916
1.9602091,3,16.379867
7.1637607,9,16.379977
4.5602202,6,16.380004
7.537632,11,19.897368
7.6551332,11,19.897451
6.818181,11,19.897473
7.8219213,12,21.716588
8.735348,12,21.716659
1.7291999,3,21.71668
8.574334,12,21.71669
6.446685,9,23.479254
8.575147,13,23.47934
10.801414,13,23.479364
2.4011905,4,23.479383
5.8103914,8,23.4794
1.9602091,3,25.393659
9.702415,14,25.393741
1.8816142,3,27.231149
13.283652,16,29.056135
3.7564077,5,29.056206
1.7649229,3,29.056223
13.69022,16,29.056234
4.772727,8,29.068054
2.403409,4,31.049123
2.0454545,4,31.049205
12.544781,17,31.049231
3.7564077,5,31.049251
4.5953035,6,33.024202
1.9200126,3,33.02429
5.8551555,8,34.852552
9.588759,12,34.852655
1.6000372,3,36.489066
2.9552715,4,36.489148
15.851466,20,36.489169
15.174619,21,38.202623
1.9602091,3,38.202711
11.143968,16,40.024357
17.383234,23,41.940906
1.5982071,3,43.840635
17.545176,25,45.508988
4.9846983,7,45.509235
11.262963,17,45.509365
7.365301,9,45.509386
7.4009857,9,45.509402
16.792213,23,45.509418
9.605308,13,45.509434
7.597107,9,47.222737
20.386917,28,50.837166
10.206179,14,50.837419
4.5307417,7,50.837541
20.734644,29,52.620468
1.9602091,3,52.620536
23.89845,30,54.592933
3.9571974,5,54.593208
21.7744,30,54.59333
20.571642,30,54.593452
25.70931,30,54.59356
2.818415,5,54.593575
13.453878,18,56.309535
10.009858,14,56.30962
10.161784,12,56.309638
19.82805,26,59.830893
9.377752,13,59.830948
24.215353,30,59.830962
4.0853662,6,61.70519
13.927503,18,61.70527
11.663114,16,63.553943
6.8237023,10,63.554041
1.9583726,3,65.426308
3.36535,5,65.426393
10.580285,12,67.263676
6.5553827,8,67.263736
10.687708,14,67.263749
21.362274,30,70.823455
4.956879,7,72.611225
9.604878,12,72.611318
10.048838,11,74.308251
12.877669,19,74.308331
19.90151,25,74.308354
12.690003,16,74.308371
9.891957,13,77.796143
21.300278,30,77.796322
11.597167,14,77.800652
16.250517,24,79.78232
23.389462,30,79.782406
6.9581957,9,79.782428
1.9602091,3,79.782445
3.0491812,5,83.450365
1.597429,3,83.450435
20.770493,30,85.306002
12.321195,16,85.306092
10.752746,12,87.050638
12.759357,19,88.684786
5.7676573,9,88.685062
1.4547784,3,88.685188
20.659195,30,90.721564
7.3239546,9,90.721929
9.821859,13,90.722186
18.201256,23,92.548272
2.9618435,5,94.122125
7.3395615,11,94.122201
20.783653,28,94.127255
1.9602091,3,95.914967
1.480736,3,95.915157
13.253591,18,95.915225
1.7649229,3,97.706394
20.631,30,99.507718
20.89392,30,99.507832
11.885951,16,99.50785
15.734167,22,101.482805
1.7671529,3,101.482893
19.827225,27,103.217576
3.2023098,5,103.217656
7.3651133,10,104.90362
1.9894304,3,104.903718
16.882215,25,106.923361
8.592116,13,106.92345
14.026995,20,108.611858
17.295862,23,108.611949
22.34808,30,108.611974
8.123958,11,108.611992
24.945948,30,108.612006
12.09824,17,108.612021
